Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
lamb	-0.94	-1	-3	0.388888888888889	18	0,-3,-3,1,0,2,2,2,2,0,-2,-3,-1,-2,-3,-3,-3,-3
supported	-0.47	0	-3	0.421052631578947	19	1,0,3,-3,0,-2,-3,-3,3,1,3,-3,1,-3,3,-3,-3,2,-3
squeaky clean	-1.32	-1	-3	0.526315789473684	19	-3,0,-3,-3,0,-3,-3,-2,0,3,2,-3,-3,-3,3,-3,-1,0,-3
honoured	0.05	0	-3	0.263157894736842	19	-3,-3,-3,0,-3,0,2,0,0,1,2,2,3,2,3,1,-2,-3,2
disdainfully	0.27	0	1	0.4	15	1,-3,1,-3,-3,-3,3,0,3,1,1,2,1,1,2
overthemoon	-0.44	0	-3	0.4375	16	0,2,-3,-3,1,3,3,1,2,-3,-3,-3,1,-3,-3,1
felicity	0.31	0	-3	0.25	16	1,3,-3,-2,2,-3,2,0,-3,3,1,-3,1,0,3,3
shoot out	0.94	1	2	0.444444444444444	18	2,2,1,2,-3,-3,2,-3,-3,0,2,3,3,2,2,3,3,2
grieving	0.85	1	3	0.461538461538462	13	3,1,-3,-3,-3,-3,3,3,2,3,3,2,3
braveness	0.28	0	2	0.388888888888889	18	-3,0,0,-2,2,1,-2,2,2,2,-3,3,2,-3,2,1,-1,2
magnanimity	-0.87	-1	-3	0.4	15	-3,3,0,1,-3,2,1,-3,-3,1,-2,0,-3,-1,-3
success story	-1.80	-2	-3	0.733333333333333	15	1,-3,-3,-3,2,-3,-3,0,-3,-3,-3,-3,-3,3,-3
dreamland	-1.84	-2	-3	0.736842105263158	19	-3,-3,-3,-3,-3,-3,3,-3,2,-2,-3,-3,-3,-3,-3,1,-3,-3,3
goodday	-0.82	-1	-3	0.352941176470588	17	-3,1,-1,2,-2,-2,1,3,-2,0,2,-3,-3,-3,-3,-3,2
flagellator	0.13	0	-3	0.266666666666667	15	2,2,-3,-3,-3,0,-3,0,0,2,1,3,0,1,3
great place	0.00	0	-3	0.235294117647059	17	-3,-3,-3,-1,1,3,0,2,2,1,0,-2,2,1,-3,3,0
spotless	-1.40	-1	-3	0.5	20	2,-3,2,2,2,-3,-3,-2,-3,-3,-3,-2,0,-2,-2,-3,-3,-3,-3,2
rapturously	-0.79	-1	-3	0.5	14	0,-3,-3,-3,3,-3,3,2,-1,-3,0,-3,3,-3
dungeon	0.94	1	3	0.352941176470588	17	3,2,0,-1,2,-3,-3,-3,0,0,3,3,2,2,3,3,3
good news	-1.20	-1	-3	0.666666666666667	15	-3,-3,-3,3,3,2,3,-3,-3,-3,-3,-3,-3,1,-3
good timing	-1.12	-1	-3	0.4375	16	0,0,-2,3,1,0,-3,3,-3,-2,-3,-3,-3,0,-3,-3
exaltation	-0.65	-1	-3	0.411764705882353	17	-1,3,2,-1,-3,-3,-3,-3,-3,3,2,-3,3,-2,-1,2,-3
sedated	-0.62	-1	-2	0.3125	16	-2,-1,-2,2,2,2,2,3,-2,-1,-3,-2,0,-3,-2,-3
courage	-1.65	-2	-3	0.6	20	-3,2,-3,3,-2,-3,-3,2,-1,-3,-3,-3,1,-3,-2,-3,-3,-3,0,-3
esteem	-0.63	-1	-3	0.421052631578947	19	1,-1,0,2,-3,-3,-3,-3,-3,1,1,1,2,-3,-3,1,-3,2,2
weakest	0.06	0	-3	0.294117647058824	17	1,1,1,-3,-3,-3,-3,-3,0,2,2,1,0,2,1,2,3
disrobement	0.00	0	2	0.3125	16	0,1,-3,-3,-3,2,-3,1,-2,2,1,2,0,1,2,2
joyousness	-1.25	-1	-3	0.666666666666667	12	-3,-3,-3,-3,2,3,-3,-3,1,-3,-3,3
joyous	-1.83	-2	-3	0.722222222222222	18	-3,-3,-3,-1,-3,-3,-1,3,3,-3,-3,-3,2,-3,-3,-3,-3,-3
rapt	-0.37	0	-3	0.315789473684211	19	3,1,1,-2,3,-3,-3,2,2,-3,1,-3,-1,2,-2,0,1,-3,-3
undiscouraged	-0.62	-1	-3	0.3125	16	1,2,2,1,-2,-3,-3,-3,-3,-3,3,-1,2,-2,0,-1
bombing	1.78	2	3	0.611111111111111	18	3,3,2,2,3,3,3,-3,-3,-3,3,3,2,3,3,2,3,3
intrepidness	0.21	0	1	0.285714285714286	14	-3,1,-3,2,3,0,1,1,-2,-2,3,3,-2,1
cheer up	-0.32	0	-2	0.315789473684211	19	2,3,-1,1,-2,-2,-2,-2,-2,-3,0,1,3,2,-3,3,-3,-2,1
murkily	0.71	1	3	0.285714285714286	14	1,1,3,3,3,3,-2,-3,1,1,0,2,0,-3
lost	0.47	0	3	0.235294117647059	17	2,3,2,3,-3,0,3,3,-3,0,2,-3,-2,2,1,-3,1
appreciation	-1.37	-1	-3	0.631578947368421	19	3,-3,3,2,3,-3,-3,-3,-3,2,-1,-3,-3,-2,-3,-3,-3,-3,-3
sadness	0.88	1	2	0.3125	16	1,-3,2,1,-3,-3,3,3,2,1,0,3,2,2,1,2
