Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
obliteration	1.10	1	3	0.45	20	-3,0,-3,-3,-3,2,-3,3,2,2,2,3,3,2,3,3,3,3,3,3
grandiosely	0.33	0	2	0.222222222222222	18	3,-3,3,-3,-1,0,0,-3,2,1,0,-2,2,2,3,2,1,-1
make progress	-0.44	0	0	0.388888888888889	18	-3,-3,1,0,3,3,-2,0,0,0,-3,0,-2,3,0,-2,-3,0
enthralled	-0.53	-1	-3	0.421052631578947	19	3,-3,2,3,3,-3,-3,-3,-3,-3,0,3,2,-3,-3,-1,1,-2,0
outgoingness	-0.94	-1	-3	0.4375	16	0,0,1,-3,2,-3,-3,-3,-2,3,-1,3,-3,-3,-3,0
warm weather	-0.55	-1	-2	0.3	20	-1,1,2,-3,1,-2,-2,-2,2,-2,1,2,-2,-3,2,-3,0,-2,-3,3
purebliss	0.00	0	-3	0.461538461538462	13	3,0,3,-3,3,-3,3,3,-3,-3,-3,-3,3
winner	0.15	0	0	0.25	20	0,0,-2,1,-2,2,3,2,3,2,0,0,3,-3,2,-3,1,-3,-3,0
vivacity	-0.43	0	-3	0.214285714285714	14	1,-3,3,-3,-3,-2,-1,-1,0,-2,3,-1,2,1
goodnews	-0.40	0	-3	0.35	20	-3,0,-3,1,1,2,2,1,-3,-3,3,1,-3,-2,3,0,-2,-3,-3,3
doubtlessness	-0.64	-1	-3	0.428571428571429	14	-3,-1,1,2,-3,3,2,1,-3,3,-3,-2,-3,-3
silent treatment	0.62	1	1	0.461538461538462	13	3,3,-3,1,1,-3,1,1,-3,1,2,3,1
here lies	-0.73	-1	-3	0.4	15	0,-2,-3,-3,3,1,0,-3,-3,0,3,-3,2,-3,0
enrapture	0.27	0	3	0.266666666666667	15	-3,-3,3,3,-3,2,-1,2,3,3,0,1,-2,2,-3
positive	-1.00	-1	-3	0.5	18	-3,-3,-3,-1,1,0,2,-3,3,2,-3,-3,-3,-3,1,-3,-2,3
excitation	0.37	0	2	0.351063829787234	94	2,3,3,2,3,2,2,1,2,2,1,3,1,1,1,2,1,1,1,2,-3,-3,1,3,2,-2,-2,-3,2,1,-3,0,2,-3,-2,-3,-3,-2,-2,2,-1,-3,2,-3,3,-3,2,1,-3,2,2,2,-3,-3,-3,-3,-3,-3,-3,2,3,-3,-2,-3,-3,2,1,-2,-2,2,2,2,3,3,2,2,1,2,3,2,-1,2,3,2,2,2,1,2,-1,0,2,3,1,2
awestruck	0.12	0	2	0.294117647058824	17	3,-3,2,2,2,2,2,-3,0,1,1,-1,-1,-3,1,0,-3
wiped out	0.25	0	1	0.3	20	1,-2,1,1,2,-3,-3,2,-3,-3,3,2,1,2,1,-2,3,-1,2,1
rile up	1.08	1	2	0.538461538461538	13	2,-3,-3,-3,3,2,3,3,2,2,2,2,2
nighty night	-1.73	-2	-3	0.6	15	-2,-3,-3,-3,2,-3,-3,3,-3,-2,-3,-3,-3,2,-2
tranquillization	-0.83	-1	-3	0.333333333333333	18	0,-3,2,-3,2,-1,-3,2,-3,0,0,3,-3,-2,-2,-1,-3,0
organized crime	0.44	0	2	0.4375	16	2,-3,-3,-3,-3,-3,1,2,2,2,3,2,1,3,2,2
rock bottom	0.32	0	-3	0.315789473684211	19	1,3,2,3,1,-3,-3,-3,2,-3,1,-3,3,3,2,-3,3,2,-2
hooliganism	0.93	1	2	0.6	15	2,-3,-3,-3,2,2,3,3,2,2,2,2,2,-1,2
gusto	-0.67	-1	-3	0.388888888888889	18	3,-3,1,1,1,-3,-3,-3,-3,-3,0,0,-2,-1,1,-3,3,2
top quality	-1.12	-1	-3	0.470588235294118	17	1,1,2,-3,-3,-3,-3,2,0,0,-2,-3,3,-3,-3,-2,-3
fulfillment	-1.38	-1	-3	0.542553191489362	94	-3,-3,-3,1,-3,-3,0,-2,-3,0,0,0,-3,0,-3,-3,0,-3,2,-3,-3,-3,0,0,0,-3,-3,-3,0,0,0,3,-3,-3,-3,1,-3,2,-3,-3,2,3,-3,0,1,-2,3,-3,-3,3,-3,-3,-3,-3,0,-3,-3,-3,-3,1,-3,-2,0,-3,3,-3,0,0,-3,-3,-3,-3,-3,0,-3,-3,0,1,0,-3,0,-2,-3,0,-3,2,-3,-3,-2,-3,-3,3,-3,2
devotedness	-0.47	0	-3	0.333333333333333	15	-2,-3,0,0,3,1,-3,1,-3,2,0,2,-3,-3,1
exultance	0.65	1	2	0.294117647058824	17	0,2,3,-3,2,-3,-3,1,3,3,-1,3,2,1,2,-3,2
conviviality	-0.71	-1	-3	0.428571428571429	14	2,-3,-3,-2,-3,-3,-3,3,1,3,-3,-2,3,0
true love	-0.12	0	-3	0.294117647058824	17	-1,3,3,-3,3,-3,1,0,3,-3,2,1,-3,-3,2,-2,-2
cheering	-0.21	0	-3	0.263157894736842	19	-3,3,-3,-3,2,1,-1,2,-3,-3,3,1,0,-1,-1,3,-2,1,0
all clear	-2.20	-2	-3	0.866666666666667	15	-3,3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3
reassuring	-0.83	-1	-3	0.444444444444444	18	0,-3,1,-3,3,-3,0,-3,-3,-3,-3,3,-2,3,-3,-2,3,0
tempestuous	0.75	1	2	0.625	16	2,2,-3,-3,-3,-3,2,2,2,1,2,2,2,2,3,2
hatred	1.47	1	3	0.473684210526316	19	-3,-3,-3,3,3,0,0,2,3,3,3,2,3,3,3,2,2,2,3
comatose	-0.72	-1	-3	0.5	18	-3,2,3,1,0,3,0,-3,-3,-3,2,-3,-3,3,0,-3,-3,-3
huge success	0.54	1	3	0.384615384615385	13	0,-2,2,3,3,-2,-3,1,3,3,-2,3,-2
lifelessness	0.78	1	3	0.388888888888889	18	1,-3,3,2,-3,-2,-2,-2,3,3,3,3,1,3,2,3,-3,2
crucified	1.47	1	3	0.647058823529412	17	3,2,3,-3,-3,-3,-3,3,3,3,3,3,3,3,2,3,3
elation	-1.23	-1	-3	0.615384615384615	13	-3,-3,3,1,-3,-3,3,-3,2,-3,-3,-1,-3
steadfastness	-0.12	0	-3	0.294117647058824	17	0,-3,-3,2,-3,3,3,-3,-2,0,2,1,0,2,0,-3,2
celebrating	-0.53	-1	-3	0.315789473684211	19	-3,2,0,-3,2,-3,-3,1,-3,1,1,2,2,-2,-1,1,-2,-3,1
charitableness	-0.38	0	-3	0.384615384615385	13	-3,3,-3,-3,2,2,2,2,-2,-3,3,-3,-2
merriness	0.40	0	2	0.333333333333333	15	-3,-3,3,1,2,1,3,2,2,-3,-3,2,2,-3,3
ecstatically	-0.07	0	-3	0.4	15	0,-3,2,1,-3,3,3,-3,1,1,-3,-3,3,-3,3
breakthrough	-0.89	-1	-3	0.388888888888889	18	0,3,3,-2,-3,-3,-3,-3,-3,-3,-2,0,-3,-1,3,-2,2,1
coma	0.65	1	0	0.294117647058824	17	0,-3,0,-3,0,1,0,0,3,2,3,2,3,1,3,2,-3
clearheaded	-1.69	-2	-3	0.625	16	-3,-3,2,-3,-3,-3,-3,3,2,-3,-3,-3,-1,-3,-1,-2
get help	-0.25	0	-3	0.25	20	-2,1,0,-1,-1,-3,-3,-3,3,-1,0,-3,2,-3,3,1,0,3,1,1
jihad	1.36	1	3	0.571428571428571	14	3,1,-3,3,-3,-3,1,3,3,3,3,3,3,2
hopefulness	-1.59	-2	-3	0.705882352941177	17	-3,-3,-3,-3,-1,3,-3,-3,-3,-3,-3,-3,1,3,3,-3,-3
bloom	-0.79	-1	-3	0.368421052631579	19	-3,0,0,-2,-3,-3,3,-3,-3,3,1,-2,0,-3,0,-3,2,1,0
bright	-1.00	-1	-3	0.571428571428571	14	-3,3,-3,3,3,-3,-3,-3,-3,-3,0,-3,-1,2
exhilaration	0.21	0	3	0.263157894736842	19	2,-2,2,1,3,3,2,3,-3,-3,-3,3,-1,-2,3,-3,-1,-2,2
anaesthetize	-0.29	0	-3	0.214285714285714	14	-2,1,-3,2,-3,3,-2,-3,-2,0,1,2,2,0
pluckiness	0.47	0	-3	0.210526315789474	19	0,0,-1,3,1,-3,1,-3,-3,-3,3,1,2,3,0,2,3,2,1
cheerful	-1.56	-2	-3	0.722222222222222	18	3,-3,3,-3,-3,-3,-3,-3,0,2,-3,-3,-3,-3,-3,-3,-3,3
calmness	-1.89	-2	-3	0.736842105263158	19	-3,-3,-1,-3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-2,-3
gratification	-0.89	-1	-3	0.315789473684211	19	-1,-2,-1,-3,3,1,1,1,-3,3,2,-3,-1,-2,-2,-3,-3,-1,-3
healthfulness	-0.07	0	-3	0.266666666666667	15	-2,0,-3,3,1,-3,2,3,-2,-2,-3,-3,3,3,2
have success	-0.86	-1	-3	0.5	14	3,-3,-3,3,-3,-3,-3,-3,-1,-3,1,-1,1,3
hearse	0.06	0	-3	0.25	16	-2,-1,1,3,-3,-3,-3,-3,0,-2,2,2,3,2,3,2
plagiarizer	0.62	1	2	0.5	16	1,1,-3,-3,2,-3,-3,2,2,2,2,3,1,2,2,2
deep freeze	0.35	0	0	0.352941176470588	17	0,-3,-3,3,3,3,3,3,0,0,1,-3,0,-3,2,0,0
ruined	0.81	1	2	0.5625	16	2,2,2,2,3,2,-3,-3,2,2,-1,2,3,-2,-2,2
enthusiastic	0.27	0	2	0.4	15	-1,2,-3,2,2,0,2,-3,2,-1,-3,-1,1,3,2
straightforward	-1.32	-1	-3	0.473684210526316	19	0,3,-3,0,-3,-3,-3,-1,-3,0,3,-3,-2,-3,-2,0,-3,1,-3
lifesaving	-0.19	0	-3	0.3125	16	-3,0,-3,0,-3,2,-1,1,2,2,1,-3,0,2,3,-3
splendor	-0.16	0	-3	0.368421052631579	19	1,-3,-3,-3,-3,2,-3,3,3,-3,3,3,-2,0,3,2,-1,1,-3
hemorrhoids	1.11	1	2	0.444444444444444	18	-3,-3,-1,2,-3,3,3,2,2,3,2,3,2,1,2,1,2,2
warmness	0.39	0	2	0.333333333333333	18	1,1,3,-3,-3,-2,-2,2,1,2,3,-3,2,2,-2,2,1,2
good samaritan	-0.94	-1	-3	0.444444444444444	18	-3,-3,-3,-3,3,-3,-1,3,2,2,-1,-2,2,1,-3,-2,-3,-3
merry	-1.44	-1	-3	0.555555555555556	18	0,3,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,3,1,0
healthiness	-0.25	0	-3	0.375	16	0,-3,-3,-3,2,-3,1,3,2,3,-3,3,-3,-2,0,2
scares	1.15	1	3	0.384615384615385	13	-3,3,-3,-3,2,2,2,2,3,1,3,3,3
loveliness	-1.08	-1	-3	0.538461538461538	13	1,-3,2,-3,-3,-3,3,-1,1,-3,1,-3,-3
innerpeace	-1.85	-2	-3	0.8	20	-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,2
lovinglife	0.07	0	-3	0.428571428571429	14	3,3,0,-3,3,-3,2,3,-3,-3,-3,2,-3,3
comfortableness	-0.75	-1	-3	0.5	12	3,-3,2,-3,1,0,3,-3,-3,-3,-3,0
lucky dog	-0.83	-1	-3	0.388888888888889	18	0,-1,2,3,-1,-3,0,-3,-3,-3,-1,0,-2,3,-3,-3,3,-3
feelgood	0.47	0	-3	0.266666666666667	15	1,1,-1,-3,-3,3,1,-3,2,-3,2,3,2,2,3
lay off	0.79	1	2	0.428571428571429	14	2,-3,0,-3,-3,3,1,3,2,2,2,1,2,2
comfort food	-1.06	-1	-3	0.375	16	-1,-3,-3,2,-2,2,-3,-1,-1,-2,-3,-1,-3,3,-3,2
malevolence	1.14	1	3	0.571428571428571	14	2,-3,-3,-3,3,-3,3,3,3,2,3,3,3,3
confidence	-0.53	-1	-3	0.473684210526316	19	0,3,0,0,0,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,2,3,3
merrier	-0.80	-1	-3	0.4	15	2,-3,-1,-3,2,-1,3,-3,-3,-3,-1,-3,0,3,-1
appreciated	-1.07	-1	-3	0.466666666666667	15	-3,1,-3,1,-3,0,-3,2,3,-3,-3,-2,2,-2,-3
uplifting	-1.54	-2	-3	0.615384615384615	13	0,-3,-3,3,-3,-3,-3,-3,-2,2,1,-3,-3
uncontainable	0.94	1	3	0.375	16	0,-3,-3,3,-3,-3,2,3,2,3,3,3,3,1,2,2
cheeriness	-0.54	-1	-3	0.384615384615385	13	-1,3,-1,3,2,3,-3,-3,-2,-3,-3,-3,1
cremation	0.24	0	1	0.294117647058824	17	-3,-3,0,-1,1,-3,0,1,3,1,1,0,-3,3,1,3,3
moral support	0.50	1	3	0.222222222222222	18	-3,3,0,0,3,2,1,3,2,3,1,0,-2,-3,1,0,1,-3
comfortable	-2.14	-2	-3	0.857142857142857	14	-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3
elegance	-1.32	-1	-3	0.526315789473684	19	-3,-1,-3,0,1,-3,-3,3,-3,2,0,-3,-2,-3,-3,-3,-3,-1,3
downheartedness	0.42	0	1	0.416666666666667	12	-3,-3,-3,1,1,1,1,2,3,2,1,2
bravery	-0.80	-1	-3	0.5	20	3,0,-3,0,0,-3,-3,-3,-3,-3,3,-3,2,-1,3,-3,3,-3,1,-3
euphoria	0.82	1	3	0.454545454545455	11	2,2,-3,-1,3,3,-3,-3,3,3,3
hospice	-0.05	0	-3	0.368421052631579	19	-3,2,-3,-3,3,-3,-3,-1,-3,1,3,2,-3,2,3,2,2,-1,2
crippler	1.77	2	3	0.538461538461538	13	3,-3,-3,3,3,3,2,2,3,3,3,2,2
rush in	0.33	0	2	0.4	15	2,-3,-3,-3,-3,-3,1,1,2,2,2,2,2,3,3
upbeat	-0.83	-1	-3	0.333333333333333	18	-3,-3,-3,2,-1,-3,-3,2,2,-2,2,-1,-2,3,2,-2,-2,-3
mass destruction	1.88	2	3	0.8125	16	3,-3,3,3,-3,-3,3,3,3,3,3,3,3,3,3,3
merriment	-1.61	-2	-3	0.611111111111111	18	1,-3,2,-3,-3,3,-3,0,-3,-3,-3,-3,-3,-2,-3,-2,-3,2
abusively	1.63	2	3	0.473684210526316	19	3,2,1,3,-3,-3,3,-3,3,2,2,3,3,3,2,2,3,3,2
liberate	-1.12	-1	-3	0.411764705882353	17	2,1,0,-2,-3,-3,-3,-3,-3,-3,-2,-1,3,-2,3,-3,0
dictatorship	1.50	2	3	0.444444444444444	18	-3,2,2,-3,-3,3,3,3,0,2,3,3,3,3,2,2,3,2
goodtimes	-0.72	-1	-3	0.388888888888889	18	-2,-3,1,1,-3,-3,2,-3,-3,1,-2,1,1,2,-3,1,-3,2
tearsofjoy	-1.21	-1	-3	0.571428571428571	14	0,-3,3,-3,2,-3,-3,3,1,-3,-3,-3,-3,-2
hypothermic	0.19	0	-3	0.25	16	1,2,-3,-2,-3,-3,-3,3,2,3,1,2,0,-1,1,3
die laughing	0.05	0	2	0.263157894736842	19	-3,-3,1,2,3,-3,-2,2,2,2,3,1,0,2,-1,-3,0,1,-3
mournful	0.37	0	2	0.315789473684211	19	1,-3,1,2,-2,-3,-3,-3,-2,-3,2,2,3,3,3,2,2,3,2
pretense	-0.13	0	-3	0.333333333333333	15	2,1,1,-3,-3,-3,-3,-3,1,2,2,2,0,1,1
great year	-0.38	0	-3	0.25	16	-3,0,3,2,1,-1,-2,2,-2,-3,-3,0,3,1,-1,-3
abundance	-0.30	0	0	0.35	20	-3,0,3,3,0,-3,-3,-3,0,-3,1,0,3,-3,1,0,-1,2,0,0
woohoo	0.06	0	1	0.333333333333333	18	1,1,3,1,1,-3,-3,-3,0,0,-2,3,-3,2,-2,1,3,1
take pleasure	0.20	0	2	0.333333333333333	15	-3,2,2,-1,1,2,3,1,-3,-3,-3,2,3,2,-2
warm	-0.54	-1	-3	0.307692307692308	13	-1,-3,-3,-3,3,-1,3,-3,-1,1,-2,1,2
